Shanghai	31.2222	121.4581	Asia/Shanghai	China
Beijing	39.9075	116.3972	Asia/Shanghai	China
Shenzhen	22.5455	114.0683	Asia/Shanghai	China
Guangzhou	23.1167	113.2500	Asia/Shanghai	China
Kinshasa	-4.3276	15.3136	Africa/Kinshasa	Democratic Republic of the Congo
Istanbul	41.0138	28.9497	Europe/Istanbul	Turkey
Lagos	6.4541	3.3947	Africa/Lagos	Nigeria
Ho Chi Minh City	10.8230	106.6296	Asia/Ho_Chi_Minh	Vietnam
Chengdu	30.6667	104.0667	Asia/Shanghai	China
Lahore	31.5580	74.3507	Asia/Karachi	Pakistan
Mumbai	19.0728	72.8826	Asia/Kolkata	India
Sao Paulo	-23.5475	-46.6361	America/Sao_Paulo	Brazil
Mexico City	19.4285	-99.1277	America/Mexico_City	Mexico
Karachi	24.8608	67.0104	Asia/Karachi	Pakistan
Tianjin	39.1422	117.1767	Asia/Shanghai	China
Delhi	28.6519	77.2315	Asia/Kolkata	India
Wuhan	30.5833	114.2667	Asia/Shanghai	China
Moscow	55.7520	37.6178	Europe/Moscow	Russia
Dhaka	23.7104	90.4074	Asia/Dhaka	Bangladesh
Seoul	37.5660	126.9784	Asia/Seoul	South Korea
Tokyo	35.6895	139.6917	Asia/Tokyo	Japan
Dongguan	23.0180	113.7487	Asia/Shanghai	China
Cairo	30.0626	31.2497	Africa/Cairo	Egypt
Xi'an	34.2583	108.9286	Asia/Shanghai	China
Johannesburg	-26.2023	28.0436	Africa/Johannesburg	South Africa
Nanjing	32.0617	118.7778	Asia/Shanghai	China
Hangzhou	30.2936	120.1614	Asia/Shanghai	China
Foshan	23.0268	113.1315	Asia/Shanghai	China
London	51.5085	-0.1257	Europe/London	United Kingdom
New York City	40.7143	-74.0060	America/New_York	United States
Jakarta	-6.2146	106.8451	Asia/Jakarta	Indonesia
Bengaluru	12.9719	77.5937	Asia/Kolkata	India
Hanoi	21.0245	105.8412	Asia/Bangkok	Vietnam
Taipei	25.0531	121.5264	Asia/Taipei	Taiwan
Lima	-12.0432	-77.0282	America/Lima	Peru
Bogota	4.6097	-74.0817	America/Bogota	Colombia
Chongqing	29.5603	106.5577	Asia/Shanghai	China
Hong Kong	22.2783	114.1747	Asia/Hong_Kong	Hong Kong
Baghdad	33.3406	44.4009	Asia/Baghdad	Iraq
Wuzhong	37.9867	106.2010	Asia/Shanghai	China
Qingdao	36.0649	120.3804	Asia/Shanghai	China
Tehran	35.6944	51.4215	Asia/Tehran	Iran
Shenyang	41.7922	123.4328	Asia/Shanghai	China
Hyderabad	17.3840	78.4564	Asia/Kolkata	India
Rio de Janeiro	-22.9064	-43.1822	America/Sao_Paulo	Brazil
Suzhou	31.3041	120.5954	Asia/Shanghai	China
Ahmedabad	23.0258	72.5873	Asia/Kolkata	India
Abidjan	5.3544	-4.0017	Africa/Abidjan	Ivory Coast
Pudong	31.2400	121.5009	Asia/Shanghai	China
Sydney	-33.8678	151.2073	Australia/Sydney	Australia
Brisbane	-27.4679	153.0281	Australia/Brisbane	Australia
Singapore	1.2897	103.8501	Asia/Singapore	Singapore
Melbourne	-37.8140	144.9633	Australia/Melbourne	Australia
Dar es Salaam	-6.8235	39.2695	Africa/Dar_es_Salaam	Tanzania
Saint Petersburg	59.9386	30.3141	Europe/Moscow	Russia
Alexandria	31.2018	29.9158	Africa/Cairo	Egypt
Harbin	45.7500	126.6500	Asia/Shanghai	China
Bangkok	13.7540	100.5014	Asia/Bangkok	Thailand
Hefei	31.8639	117.2808	Asia/Shanghai	China
Dalian	38.9122	121.6022	Asia/Shanghai	China
Kano	12.0001	8.5167	Africa/Lagos	Nigeria
Santiago	-33.4569	-70.6483	America/Santiago	Chile
Cape Town	-33.9258	18.4232	Africa/Johannesburg	South Africa
Peshawar	34.0080	71.5785	Asia/Karachi	Pakistan
Changchun	43.8800	125.3228	Asia/Shanghai	China
Jeddah	21.4901	39.1862	Asia/Riyadh	Saudi Arabia
Chennai	13.0878	80.2785	Asia/Kolkata	India
Kolkata	22.5626	88.3630	Asia/Kolkata	India
Xiamen	24.4798	118.0819	Asia/Shanghai	China
Surat	21.1959	72.8302	Asia/Kolkata	India
Yangon	16.8053	96.1561	Asia/Yangon	Myanmar
Bao'an	22.5521	113.8829	Asia/Shanghai	China
Kabul	34.5281	69.1723	Asia/Kabul	Afghanistan
Nairobi	-1.2833	36.8167	Africa/Nairobi	Kenya
Wuxi	31.5689	120.2886	Asia/Shanghai	China
